order_id,order_date,order_hour,status,event,show_date,show_hour,tickets_quantity,ticket_type,tribune,previuos_experience_hour,price_type,order_amount,payment_method,client_id,city,region,country
1462864,2019-11-22,13:41:41,Enviada,Dataton,2023-05-03,21:00:00,6,Sector 5,Brain,,Pack Flia 6x4,12200,MercadoPago,10167,Westerville,Ohio,United States
1462419,2019-11-19,11:02:01,Enviada,Dataton,2023-05-13,17:00:00,5,Sector 6,Bishop,,Pack Flia 5x4,12600,MercadoPago,10167,Westerville,Ohio,United States
1407040,2019-09-05,17:55:06,Enviada,Dataton,2023-04-27,21:00:00,4,Sector 7,Bishop,,REG,23000,VISA,6369,Gral San Martin,Chaco,Argentina
1407109,2019-09-05,19:47:19,En Proceso,Dataton,2023-04-27,21:00:00,1,VIP Parking,Others,,REG,600,VISA,1051,Gral Jose de San Martin,Chaco,Argentina
1407109,2019-09-05,19:47:19,En Proceso,Dataton,2023-04-27,21:00:00,1,Sector 7,Bishop,,REG,9500,VISA,1051,Gral Jose de San Martin,Chaco,Argentina
1407956,2019-09-07,09:40:21,Enviada,Dataton,2023-04-27,21:00:00,3,Sector 6,Bishop,,REG,11000,MercadoPago,7901,Presidencia roque sáenz peña,Chaco,Argentina
1466577,2019-12-16,18:43:56,Enviada,Dataton,2023-04-28,21:00:00,2,Sector 9,Bishop,,MasterCard 30%,11860,MPMastercard,7421,PRESIDENCIA ROQUE SAENZ PEÑA,Chaco,Argentina
1400517,2019-08-25,19:06:17,Enviada,Dataton,2023-04-29,17:00:00,4,Sector 4,Brain,,REG,19000,MercadoPago,8573,Resistencia,Chaco,Argentina
1400987,2019-08-26,12:10:22,Enviada,Dataton,2023-04-29,17:00:00,1,General Parking,Others,,REG,400,MercadoPago,8573,Resistencia,Chaco,Argentina
1402875,2019-08-28,23:06:03,Enviada,Dataton,2023-04-29,21:00:00,4,Sector 3,Brain,,REG,27000,MercadoPago,8861,Resistencia,Chaco,Argentina
1403483,2019-08-30,18:40:54,Enviada,Dataton,2023-04-29,21:00:00,4,Sector 4,Brain,,REG,19000,MercadoPago,9389,Pcia Roque Saenz Peña,Chaco,Argentina
1403670,2019-08-31,09:37:48,Enviada,Dataton,2023-04-29,17:00:00,2,Sector 8,Bishop,,REG,20800,MercadoPago,1037,resistencia,Chaco,Argentina
1404412,2019-08-31,22:49:31,Enviada,Dataton,2023-04-29,17:00:00,1,General Parking,Others,,REG,400,MercadoPago,4104,Resistencia,Chaco,Argentina
1404412,2019-08-31,22:49:31,Enviada,Dataton,2023-04-29,17:00:00,3,Sector 9,Bishop,,REG,18500,MercadoPago,4104,Resistencia,Chaco,Argentina
1404998,2019-09-02,09:48:41,Enviada,Dataton,2023-04-29,17:00:00,1,VIP Parking,Others,,REG,600,MercadoPago,5502,Resistencia,Chaco,Argentina
1404998,2019-09-02,09:48:41,Enviada,Dataton,2023-04-29,17:00:00,2,Sector 3,Brain,,REG,20800,MercadoPago,5502,Resistencia,Chaco,Argentina
1405439,2019-09-02,23:29:56,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 5,Brain,,REG,9000,MercadoPago,9483,resistencia,Chaco,Argentina
1409575,2019-09-11,21:56:36,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 5,Brain,,REG,9000,MercadoPago,7570,Resistencia,Chaco,Argentina
1411880,2019-09-25,21:16:19,Enviada,Dataton,2023-04-29,17:00:00,3,Sector 9,Bishop,,REG,16400,MercadoPago,39,resistencia,Chaco,Argentina
1463136,2019-11-25,00:05:44,Enviada,Dataton,2023-04-29,17:00:00,2,Sector 9,Bishop,,REG,12600,MercadoPago,9401,BARRANQUERAS,Chaco,Argentina
1463488,2019-11-27,11:21:16,Enviada,Dataton,2023-04-29,21:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,22799,MercadoPago,320,Resistencia ,Chaco,Argentina
1463494,2019-11-27,11:34:04,Enviada,Dataton,2023-04-29,21:00:00,1,General Parking,Others,,REG,500,MercadoPago,320,Resistencia ,Chaco,Argentina
1470134,2020-01-09,10:20:08,Enviada,Dataton,2023-04-29,17:00:00,3,Sector 2,Brain,,MasterCard 30%,12980,MPMastercard,5302,Resistencia,Chaco,Argentina
1470231,2020-01-10,11:42:58,Enviada,Dataton,2023-04-29,17:00:00,1,Sector 2,Brain,,MasterCard 30%,7660,MPMastercard,5302,Resistencia,Chaco,Argentina
1471097,2020-01-18,10:58:19,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 2,Brain,,REG,12600,MercadoPago,9688,Presidencia Roque Sáenz Peña,Chaco,Argentina
1475271,2020-02-12,20:46:58,Enviada,Dataton,2023-04-29,17:00:00,6,Sector 4,Brain,,Pack Flia 6x4,20198,MercadoPago,3825,Resistencia,Chaco,Argentina
1478931,2020-02-29,20:21:27,Enviada,Dataton,2023-04-29,17:00:00,2,Sector 4,Brain,,MasterCard 30%,10320,MPMastercard,9560,Resistencia,Chaco,Argentina
1480392,2020-03-04,16:07:49,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 2,Brain,,MasterCard 30%,10320,MPMastercard,6632,Resistencia,Chaco,Argentina
1480506,2020-03-05,08:41:44,Enviada,Dataton,2023-04-29,21:00:00,1,Sector 2,Brain,,MasterCard 30%,7660,MPMastercard,6632,Resistencia,Chaco,Argentina
1511347,2021-12-20,18:26:53,Enviada,Dataton,2023-04-29,21:00:00,2,Sector 2,Brain,,REG,20000,VISA,6632,Resistencia,Chaco,Argentina
1441270,2019-10-10,22:40:57,Enviada,Dataton,2023-04-30,16:00:00,1,General Parking,Others,,REG,500,MercadoPago,2643,Resistencia,Chaco,Argentina
1441270,2019-10-10,22:40:57,Enviada,Dataton,2023-04-30,16:00:00,5,Sector 1,Brain,,REG,19500,MercadoPago,2643,Resistencia,Chaco,Argentina
1454876,2019-10-19,16:10:53,En Proceso,Dataton,2023-04-30,16:00:00,2,Sector 6,Bishop,,REG,9400,MercadoPago,2610,RESISTENCIA,Chaco,Argentina
1454877,2019-10-19,16:11:02,Enviada,Dataton,2023-04-30,16:00:00,2,Sector 6,Bishop,,REG,9400,MercadoPago,9941,Colonia Benitez,Chaco,Argentina
1461826,2019-11-13,17:55:46,Enviada,Dataton,2023-04-30,16:00:00,4,Sector 1,Brain,,Pack Flia 4x3,11600,MercadoPago,2643,Resistencia,Chaco,Argentina
1409323,2019-09-11,09:22:29,Enviada,Dataton,2023-05-02,21:00:00,2,Sector 1,Brain,,REG,9600,MercadoPago,5870,resistencia,Chaco,Argentina
1461307,2019-11-10,09:47:39,Enviada,Dataton,2023-05-02,21:00:00,6,Sector 10,Bishop,,Pack Flia 6x4,15398,MercadoPago,5324,resistencia,Chaco,Argentina
1464111,2019-11-30,18:52:01,Enviada,Dataton,2023-05-02,21:00:00,2,Sector 10,Bishop,,Edenor 20%,9160,MercadoPago,9957,Barranqueras,Chaco,Argentina
1471281,2020-01-21,20:42:11,Enviada,Dataton,2023-05-02,21:00:00,2,Sector 2,Brain,,REG,11400,MercadoPago,2651,Presidencia Roque Sáenz Peña,Chaco,Argentina
1471244,2020-01-21,13:04:17,Enviada,Dataton,2023-05-04,21:00:00,4,Sector 9,Bishop,,REG,17800,MercadoPago,196,Resistencia,Chaco,Argentina
1471248,2020-01-21,13:33:32,Enviada,Dataton,2023-05-04,21:00:00,1,General Parking,Others,,REG,400,Nativa-MC,196,Resistencia,Chaco,Argentina
1471310,2020-01-22,07:53:38,Enviada,Dataton,2023-05-04,21:00:00,2,Sector 9,Bishop,,REG,11400,MercadoPago,196,Resistencia,Chaco,Argentina
1476421,2020-02-19,14:21:00,Enviada,Dataton,2023-05-04,21:00:00,3,Sector 1,Brain,,MasterCard 30%,10460,MPMastercard,2683,Resistencia ,Chaco,Argentina
1477711,2020-02-26,17:21:40,En Proceso,Dataton,2023-05-04,21:00:00,1,VIP Parking,Others,,REG,600,VISA,9954,Resistencia ,Chaco,Argentina
1477711,2020-02-26,17:21:40,En Proceso,Dataton,2023-05-04,21:00:00,2,Previous Experience,Others,18:30hs,REG,1000,VISA,9954,Resistencia ,Chaco,Argentina
1477711,2020-02-26,17:21:40,En Proceso,Dataton,2023-05-04,21:00:00,5,Sector 2,Brain,,Pack Flia 5x4,17800,VISA,9954,Resistencia ,Chaco,Argentina
1473281,2020-02-04,11:44:35,Enviada,Dataton,2023-05-05,21:00:00,5,Sector 8,Bishop,,MasterCard 30%,36150,MPMastercard,1147,Pcia Roque Saenz Peña,Chaco,Argentina
1407716,2019-09-06,18:03:58,Enviada,Dataton,2023-05-06,17:00:00,1,VIP Parking,Others,,REG,600,MercadoPago,4286,Saenz Peña,Chaco,Argentina
1407716,2019-09-06,18:03:58,Enviada,Dataton,2023-05-06,17:00:00,4,Sector 1,Brain,,REG,15000,MercadoPago,4286,Saenz Peña,Chaco,Argentina
1408158,2019-09-07,19:10:26,Enviada,Dataton,2023-05-06,17:00:00,2,Sector 2,Brain,,REG,14000,MercadoPago,10249,Resistencia,Chaco,Argentina
1409855,2019-09-12,19:00:16,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 4,Brain,,REG,14000,MercadoPago,2480,Resistencia,Chaco,Argentina
1410391,2019-09-13,18:24:55,Enviada,Dataton,2023-05-06,21:00:00,4,Sector 2,Brain,,REG,19000,MercadoPago,7719,resistencia,Chaco,Argentina
1410804,2019-09-15,20:12:28,Enviada,Dataton,2023-05-06,21:00:00,3,Sector 2,Brain,,REG,15500,MercadoPago,5062,Resistencia,Chaco,Argentina
1450391,2019-10-14,20:06:30,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 10,Bishop,,REG,9400,MercadoPago,9263,Resistencia,Chaco,Argentina
1450395,2019-10-14,20:07:25,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 10,Bishop,,REG,9400,MercadoPago,4817,Resistencia,Chaco,Argentina
1464693,2019-12-05,16:30:17,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 7,Bishop,,Pro Navidad 20%,11080,MercadoPago,8908,Resistencia,Chaco,Argentina
1474921,2020-02-10,21:08:28,Enviada,Dataton,2023-05-06,17:00:00,3,Sector 3,Brain,,MasterCard 30%,16970,MPMastercard,5910,Resistencia,Chaco,Argentina
1477546,2020-02-26,09:00:45,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 8,Bishop,,REG,22800,MercadoPago,9569,Resistencia ,Chaco,Argentina
1480334,2020-03-04,12:22:29,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 2,Brain,,MasterCard 30%,11860,MPMastercard,3788,resistencia,Chaco,Argentina
1482165,2020-03-11,20:53:18,Impresa,Dataton,2023-05-06,21:00:00,2,Sector 7,Bishop,,MasterCard 30%,11860,MPMastercard,2850,Resistencia,Chaco,Argentina
1482317,2020-03-13,19:08:33,Enviada,Dataton,2023-05-06,21:00:00,2,Sector 7,Bishop,,MasterCard 30%,10320,MPMastercard,9167,Resistencia,Chaco,Argentina
1452191,2019-10-16,00:01:58,Enviada,Dataton,2023-05-07,16:00:00,5,Sector 6,Bishop,,REG,19500,MercadoPago,1445,Las Breñas,Chaco,Argentina
1471132,2020-01-18,22:17:20,Enviada,Dataton,2023-05-07,16:00:00,4,Sector 10,Bishop,,Pack Flia 4x3,10700,MercadoPago,5367,Resistencia ,Chaco,Argentina
1471243,2020-01-21,13:00:01,Enviada,Dataton,2023-05-07,16:00:00,2,Sector 10,Bishop,,REG,8800,MercadoPago,5367,Resistencia ,Chaco,Argentina
1465123,2019-12-09,12:34:51,Enviada,Dataton,2023-05-09,21:00:00,4,Sector 6,Bishop,,Pro Navidad 40%,11240,MercadoPago,8726,Resistencia ,Chaco,Argentina
1466215,2019-12-15,14:47:14,Enviada,Dataton,2023-05-09,21:00:00,4,Sector 8,Bishop,,Pro Navidad 40%,24680,MercadoPago,9934,Resistencia ,Chaco,Argentina
1479469,2020-03-02,00:51:35,Enviada,Dataton,2023-05-09,21:00:00,2,Sector 2,Brain,,MasterCard 30%,11300,MPMastercard,990,Resistencia,Chaco,Argentina
1472033,2020-01-29,13:55:43,Enviada,Dataton,2023-05-10,21:00:00,3,Sector 8,Bishop,,Pack Flia 3x2,21401,MercadoPago,4398,BARRANQUERAS,Chaco,Argentina
1472086,2020-01-29,18:16:10,En Proceso,Dataton,2023-05-10,21:00:00,3,Previous Experience,Others,19:30hs,REG,1500,VISA,8567,BARRANQUERA,Chaco,Argentina
1469351,2019-12-31,22:07:05,Enviada,Dataton,2023-05-11,21:00:00,4,Sector 9,Bishop,,MasterCard 30%,13960,MPMastercard,7814,Resistencia ,Chaco,Argentina
1472424,2020-01-31,17:01:14,Enviada,Dataton,2023-05-11,21:00:00,2,Sector 3,Brain,,REG,21400,MercadoPago,2304,Villa Angela,Chaco,Argentina
1477513,2020-02-25,23:23:33,Enviada,Dataton,2023-05-11,21:00:00,4,Sector 9,Bishop,,Pack Flia 4x3,14600,MercadoPago,850,Resistencia,Chaco,Argentina
1476239,2020-02-18,15:26:25,Impresa,Dataton,2023-05-12,21:00:00,3,Sector 4,Brain,,MasterCard 30%,12980,MPMastercard,1933,Barranquera,Chaco,Argentina
1408092,2019-09-07,15:49:39,Enviada,Dataton,2023-05-13,17:00:00,1,Sector 8,Bishop,,REG,12900,MercadoPago,10409,Resistencia,Chaco,Argentina
1452201,2019-10-16,00:04:48,Enviada,Dataton,2023-05-13,21:00:00,4,Sector 9,Bishop,,REG,20200,MercadoPago,656,Saenz peña ,Chaco,Argentina
1461578,2019-11-11,23:25:31,En Proceso,Dataton,2023-05-13,21:00:00,4,Sector 5,Brain,,Pack Flia 4x3,10700,MercadoPago,8635,Resistencia,Chaco,Argentina
1461579,2019-11-11,23:30:30,En Proceso,Dataton,2023-05-13,21:00:00,5,Sector 5,Brain,,Pack Flia 5x4,12600,MercadoPago,10318,Resistencia ,Chaco,Argentina
1470912,2020-01-15,23:30:12,Enviada,Dataton,2023-05-13,17:00:00,4,Sector 7,Bishop,,MasterCard 30%,18720,MPMastercard,3980,pampa del indio,Chaco,Argentina
1475522,2020-02-14,10:28:07,Enviada,Dataton,2023-05-13,21:00:00,3,Sector 10,Bishop,,REG,11600,MercadoPago,3257,Roque Saenz Peña,Chaco,Argentina
1476706,2020-02-20,21:34:35,Impresa,Dataton,2023-05-13,21:00:00,4,Sector 2,Brain,,MasterCard 30%,18720,MPMastercard,8849,Resistencia,Chaco,Argentina
1480316,2020-03-04,11:09:43,Enviada,Dataton,2023-05-13,17:00:00,6,Sector 7,Bishop,,Pack Flia 6x4,20198,MercadoPago,4730,RESISTENCIA,Chaco,Argentina
1404589,2019-09-01,11:57:14,Enviada,Dataton,2023-05-14,16:00:00,1,VIP Parking,Others,,REG,600,MercadoPago,8950,Charata,Chaco,Argentina
1404589,2019-09-01,11:57:14,Enviada,Dataton,2023-05-14,16:00:00,5,Previous Experience,Others,14:30hs,REG,2500,MercadoPago,8950,Charata,Chaco,Argentina
1404589,2019-09-01,11:57:14,Enviada,Dataton,2023-05-14,16:00:00,5,Sector 1,Brain,,REG,17500,MercadoPago,8950,Charata,Chaco,Argentina
1466825,2019-12-17,16:30:17,Enviada,Dataton,2023-05-14,16:00:00,3,Sector 6,Bishop,,Pack Flia 3x2,9401,MercadoPago,4223,Resistencia,Chaco,Argentina
1474959,2020-02-11,00:23:38,Enviada,Dataton,2023-05-14,20:00:00,5,Sector 6,Bishop,,REG,16000,MercadoPago,10390,resistencia ,Chaco,Argentina
1406113,2019-09-04,13:53:11,Enviada,Dataton,2023-04-27,21:00:00,3,Sector 2,Brain,,REG,15500,MercadoPago,9469,san salvador de jujuy,Jujuy,Argentina
1409761,2019-09-12,14:51:27,Enviada,Dataton,2023-04-28,21:00:00,2,Sector 3,Brain,,REG,20800,MercadoPago,9205,San Salvador de Jujuy,Jujuy,Argentina
1411733,2019-09-23,09:18:41,Enviada,Dataton,2023-04-28,21:00:00,2,Sector 6,Bishop,,REG,8800,MercadoPago,8852,SAN PEDRO,Jujuy,Argentina
1467653,2019-12-20,21:18:38,Enviada,Dataton,2023-04-28,21:00:00,6,Sector 9,Bishop,,Pack Flia 6x4,20198,MercadoPago,2932,San Salvador ,Jujuy,Argentina
1480172,2020-03-03,18:24:44,Enviada,Dataton,2023-04-28,21:00:00,1,Sector 9,Bishop,,MasterCard 30%,7660,MPMastercard,8271,s s de jujuy,Jujuy,Argentina
1481478,2020-03-09,12:04:27,Enviada,Dataton,2023-04-28,21:00:00,1,Sector 9,Bishop,,MasterCard 30%,7660,MPMastercard,2932,San Salvador ,Jujuy,Argentina
